model,condition,accuracy,balanced_accuracy,f1_score,precision,recall,train_samples,eval_samples,dataset,paraphrase_model_family,paraphrase_model_name,evaluation_model
distilbert-base-uncased,original_original,0.57,0.5616557488847596,0.5389783637592968,0.5832312997755034,0.57,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.5025,0.5071794583028324,0.4921832889662577,0.5084192641798672,0.5025,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.495,0.4982888175635515,0.4899196066581048,0.49873392683737516,0.495,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.55375,0.5573042776432606,0.5486685503197719,0.5609655874026893,0.55375,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.55,0.5532656368289005,0.5457013674320846,0.556252642121762,0.55,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.51375,0.5166926315921192,0.5099189380049929,0.5178623010541547,0.51375,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.54125,0.5451977401129944,0.5346945756747238,0.5488114123514432,0.54125,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_Small_24B_Base_2501,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.51125,0.5149220113745143,0.505136684219906,0.5163440585911784,0.51125,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_Small_24B_Base_2501,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.545,0.5444375621750475,0.5449601386698706,0.5449270849632295,0.545,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_Small_24B_Base_2501,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.55375,0.5573042776432606,0.5486685503197719,0.5609655874026893,0.55375,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_Small_24B_Base_2501,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.55,0.5531029650067885,0.546140569294324,0.555842914979757,0.55,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_Small_24B_Base_2501,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.52625,0.5306698950766747,0.5176192994968105,0.5338647058030418,0.52625,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_Small_24B_Base_2501,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.54125,0.5451977401129944,0.5346945756747238,0.5488114123514432,0.54125,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.3,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.49125,0.4980729645688258,0.46807863549657047,0.49815892119961147,0.49125,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.3,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.48375,0.48812495698581626,0.474345041404176,0.4876205708661418,0.48375,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.3,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.55375,0.5573042776432606,0.5486685503197719,0.5609655874026893,0.55375,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.3,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.55125,0.5554523215145998,0.5439835724648343,0.5602653647156342,0.55125,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.3,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.51125,0.5167927373288036,0.4969153273235596,0.5197053793532338,0.51125,3000,800,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.3,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.54125,0.5451977401129944,0.5346945756747238,0.5488114123514432,0.54125,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_1.5B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.51125,0.5158980423071869,0.501295718951602,0.5179734735109248,0.51125,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_1.5B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.575,0.5719478699376216,0.5711259692989397,0.5746988401451278,0.575,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_1.5B,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.55375,0.5573042776432606,0.5486685503197719,0.5609655874026893,0.55375,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_1.5B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.55375,0.5564095826216441,0.5510006644189903,0.5586593031609196,0.55375,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_1.5B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.575,0.5806508124206193,0.5623443863828479,0.5928165558553009,0.575,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_1.5B,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.54125,0.5451977401129944,0.5346945756747238,0.5488114123514432,0.54125,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_7B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.51125,0.5158980423071869,0.501295718951602,0.5179734735109248,0.51125,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_7B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.53125,0.5271349112500079,0.5235954888117746,0.5292792755153881,0.53125,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_7B,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.55375,0.5573042776432606,0.5486685503197719,0.5609655874026893,0.55375,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_7B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.5525,0.5551989288686174,0.5496519356782406,0.5574634087626384,0.5525,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_7B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.5625,0.5681375953350727,0.5494721624529317,0.5784977271278968,0.5625,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_7B,Snowflake/snowflake-arctic-embed-xs
